dep,numac,ttue,tbg,tbl,tindm,code_comm
10,698430906,316,2237,1849,2485,603530
20,554043487,314,1722,1105,1857,1013341
30,450845171,227,1466,986,1784,335030
40,251965419,132,809,462,691,108699
50,194077467,84,603,542,764,62250
60,2022936820,406,5163,15221,15745,1248618
70,355241608,185,1104,546,957,228752
80,262631073,126,830,321,764,227697
90,180165052,93,550,350,535,128447
100,342430846,164,1030,817,1228,381203
110,491909111,306,1376,1768,1919,482393
120,325878460,158,1029,498,992,190708
130,4131001739,860,11288,22987,24222,1810341
140,681925097,242,2053,1639,2518,950577
150,153574965,75,493,116,538,65705
160,347929778,221,990,468,1029,203136
170,1002876975,402,2520,4715,4973,1713131
180,452650983,199,1265,1445,1900,285330
190,354508646,132,955,1276,1633,168462
201,316931941,86,824,1530,1562,121536
202,410518460,139,954,2269,2055,231402
210,628400326,245,1727,2308,2967,869749
220,652172460,262,1763,2030,2497,598980
230,149358589,65,435,273,465,66536
240,562193188,262,1708,974,1753,554606
250,598594111,259,1621,1809,2537,501226
260,665961805,295,1794,2353,2864,657225
270,730568835,318,2133,1561,2664,1062756
280,584447059,303,1530,1775,2587,470781
290,821661148,325,2243,2667,3260,418185
300,1269991999,443,3316,4934,5116,931940
310,1384996432,436,3139,7099,7178,3706025
320,317265868,156,878,643,918,210966
330,2140327861,512,5043,10121,12020,2426693
340,1728307056,656,4260,6307,7549,1232643
350,1110474372,370,2706,4028,4581,1135899
360,381885558,133,843,1531,1491,170247
370,785126198,277,2186,1631,2947,614544
380,1283245674,510,3463,3647,4927,1471543
390,268342836,181,737,323,663,235696
400,531567095,256,1486,833,1752,342524
410,522128623,257,1277,1576,2098,254420
420,1042296170,231,2429,4085,4922,955788
430,387747207,139,1146,583,1097,173897
440,1544080452,511,3888,4312,5770,799036
450,808933451,374,1871,2434,2947,658826
460,236920609,126,625,256,736,113640
470,551059288,234,1511,1082,1540,261568
480,158543273,52,472,267,415,47626
490,1109043751,303,2376,4533,4551,685367
500,761611097,265,1849,2195,2879,905572
510,678580447,286,1786,1352,2261,886246
520,354198666,123,896,927,1202,392878
530,304424191,163,852,248,823,117997
540,958816743,239,2010,3898,4330,1661738
550,282897907,108,730,625,754,301642
560,934431331,312,2054,3374,3480,613632
570,1100768046,370,2461,3589,4287,2045889
580,329512241,136,814,821,1135,237718
590,3144712307,594,7246,10195,12963,5082934
600,983812230,425,2591,2027,2944,1050465
610,379887823,174,1051,560,1013,264951
620,1615323453,517,3957,3934,5365,2457704
630,1046679666,264,1986,4334,4522,734962
640,1170422948,254,2182,4696,5057,1650088
650,412316762,114,855,1460,1536,552704
660,523366169,182,1308,1252,1731,232442
670,1383241970,330,2706,5218,5719,2311604
680,897542344,236,2139,1873,3011,585055
690,2802177216,411,5211,11386,12678,3436106
700,287697841,162,753,308,759,270149
710,867291887,347,2217,1657,2670,773724
720,848716193,249,1834,2332,2936,593091
730,457895314,165,1266,588,1098,186946
740,1025105517,329,2714,1701,2686,495834
750,7758720980,291,4485,49949,40143,4192311
760,1706263179,390,3704,4092,5316,2386712
770,1787538633,554,3794,4373,5657,1622591
780,2103450593,327,3421,7424,8193,3404172
790,459702067,202,1072,536,1386,261832
800,1100535420,348,1980,3196,4051,961639
810,462261586,265,1024,712,995,166009
820,456053186,198,1048,685,1120,152777
830,2195452937,553,4836,4785,6770,724702
840,926278773,312,1994,1966,2599,144782
850,785920629,375,2086,812,1947,339730
860,672953504,191,1349,1693,2068,370928
870,843969613,162,1182,3208,2983,303747
880,588010835,223,1454,846,1474,473332
890,634337331,260,1468,1044,1715,469336
900,328681360,40,435,1239,1204,38044
910,2138155948,240,2863,8395,8059,3246682
920,3384410787,162,2941,14593,15308,576393
930,4945589460,235,9633,10824,16966,712792
940,3580117551,184,3320,14235,14933,670997
950,1780463607,207,2213,6091,5874,2038091
971,972859498,382,2186,1738,2568,175549
972,1059908588,230,1501,3605,3047,488406
973,720473288,179,1002,2646,2484,493995
974,1345529418,326,1954,3950,4236,998469
